0;#;FORM;LEMMA;POS;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;RIGHTLEMMA;AUTO_LEMMA;AUTO_POS;AUTO_GRAM
42766;;Сливкишоу;СЛИВКИШОУ;S;n inan nom sg;;;/ пошло // Сливкишоу / Обожаю ;у;о;ш;и;к;в;У;СЛИВКИШОУ;S;f inan nonflex nonflex
42767;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42768;;Обожаю;ОБОЖАТЬ;V;ipf praes sg indic - 1p;;;// Сливкишоу / Обожаю   ;ю;а;ж;о;б;О;Ь;ОБОЖАТЬ;V;ipf praes sg indic - 1p
42769;;;;;;;;;;;;;;;;;;
42770;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
42771;"<span <class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
42772;;;;;;;;;;;;;;;;;;
42773;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
42774;;Это;ЭТО;INTJ;INTJ;;;   Это можно сливкишоу называть;о;т;Э;;;;О;ЭТО;S;n - nom sg
42775;;можно;МОЖНО;PRAEDIC;-;;;  Это можно сливкишоу называть /;о;н;ж;о;м;;О;МОЖНО;ADV;-
42776;;сливкишоу;СЛИВКИШОУ;S;n inan acc sg;;; Это можно сливкишоу называть / канал;у;о;ш;и;к;в;У;СЛИВКИШОУ;S;n inan nonflex nonflex
42777;;называть;НАЗЫВАТЬ;V;ipf - - inf - -;;;Это можно сливкишоу называть / канал ?;ь;т;а;в;ы;з;Ь;НАЗЫВАТЬ;V;ipf - - inf - -
42778;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42779;;канал;КАНАЛ;S;m inan acc sg;;;сливкишоу называть / канал ?  Название;л;а;н;а;к;;Л;КАНАЛ;S;m inan nom sg
42780;;?;?;PUNCT;SENT;;;называть / канал ?  Название канала;?;;;;;;?;?;SENT;SENT
42781;;;;;;;;;;;;;;;;;;
42782;;Название;НАЗВАНИЕ;S;n inan acc sg;;;канал ?  Название канала можно ?;е;и;н;а;в;з;Е;НАЗВАНИЕ;S;n inan nom sg
42783;;канала;КАНАЛ;S;m inan gen sg;;;?  Название канала можно ? Нуу;а;л;а;н;а;к;Л;КАНАЛ;S;m inan gen sg
42784;;можно;МОЖНО;PRAEDIC;-;;; Название канала можно ? Нуу /;о;н;ж;о;м;;О;МОЖНО;ADV;-
42785;;?;?;PUNCT;;;;Название канала можно ? Нуу / давай;?;;;;;;?;?;SENT;
42786;;;;;;;;;;;;;;;;;;
42787;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
42788;;Нуу;НУУ;INTJ;INTJ;;;канала можно ? Нуу / давай ;у;у;Н;;;;У;НУУ;S;m anim nonflex nonflex
42789;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42790;;давай;ДАВАТЬ;V;ipf - sg imper - 2p;;;? Нуу / давай   Я;й;а;в;а;д;;Ь;ДАВАТЬ;V;ipf - sg imper - 2p
42791;;;;;;;;;;;;;;;;;;
42792;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
42793;;Я;Я;SPRO;sg 1p - nom;;;давай   Я просто назвал //;Я;;;;;;Я;Я;SPRO;sg 1p - nom
42794;;просто;ПРОСТО;ADV;-;;;  Я просто назвал // Я;о;т;с;о;р;п;О;ПРОСТО;ADV;-
42795;;назвал;НАЗВАТЬ;V;pf praet sg indic m 1p;;; Я просто назвал // Я поэтому;л;а;в;з;а;н;Ь;НАЗВАТЬ;V;pf praet sg indic m -
42796;;//;//;PUNCT;_;;;Я просто назвал // Я поэтому э;/;/;;;;;/;//;PUNCT;_
42797;;Я;Я;SPRO;sg 1p - nom;;;просто назвал // Я поэтому э ;Я;;;;;;Я;Я;SPRO;sg 1p - nom
42798;;поэтому;ПОЭТОМУ;ADVPRO;-;;;назвал // Я поэтому э  ;у;м;о;т;э;о;У;ПОЭТОМУ;ADV;-
42799;;э;Э;INTJ;INTJ;;;// Я поэтому э   ;э;;;;;;Э;Э;S;- - nonflex nonflex
42800;"<span <class=""note"">вздыхает</span>";;;;;;;;;;;;;;;;;
42801;"<span <class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
42802;"<span <class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
42803;;;;;;;;;;;;;;;;;;
42804;"<distinct form=""гажет"">";;;;;;;;;;;;;;;;;
42805;;Ну;НУ;INTJ;INTJ;;;   Ну гаджет  /;у;Н;;;;;У;НУ;PART;
42806;;гаджет;ГАДЖЕТ;S;f inan nom sg;;;  Ну гаджет  / доустим;т;е;ж;д;а;г;Т;ГАДЖЕТ;S;f inan nom sg
42807;</distinct>;;;;;;;;;;;;;;;;;
42808;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42809;;допустим;ДОПУСТИТЬ;PARENTH;-;;;гаджет  / доустим / хороший для;м;и;т;с;у;о;Ь;ДОПУСТИТЬ;V;V
42810;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42811;;хороший;ХОРОШИЙ;A;- nom sg plen m -;;;/ доустим / хороший для того чтобы;й;и;ш;о;р;о;Й;ХОРОШИЙ;A;- nom sg plen m -
42812;;для;ДЛЯ;PR;PR;;;доустим / хороший для того чтобы убирать;я;л;д;;;;Я;ДЛЯ;PR;PR
42813;;того;ТОТ;APRO;n - gen sg;;;/ хороший для того чтобы убирать шерсть;о;г;о;т;;;Т;ТО;S;n - gen sg
42814;;чтобы;ЧТОБЫ;CONJ;CONJ;;;хороший для того чтобы убирать шерсть во время;ы;б;о;т;ч;;Ы;ЧТОБЫ;CONJ;CONJ
42815;;убирать;УБИРАТЬ;V;ipf - - inf - -;;;для того чтобы убирать шерсть во время линьки;ь;т;а;р;и;б;Ь;УБИРАТЬ;V;ipf - - inf - -
42816;;шерсть;ШЕРСТЬ;S;f inan acc sg;;;того чтобы убирать шерсть во время линьки это;ь;т;с;р;е;ш;Ь;ШЕРСТЬ;S;f inan acc sg
42817;;во время;во время;PR;PR;раздельно;;чтобы убирать шерсть во время линьки это да;я;м;е;р;в; ;я;во время;PR;PR
42818;;линьки;ЛИНЬКА;S;f inan gen sg;;;убирать шерсть во время линьки это да допустим;и;к;ь;н;и;л;А;ЛИНЬКА;S;m inan gen sg
42819;;это;ЭТО;PART;PART;;;шерсть во время линьки это да допустим да;о;т;э;;;;О;ЭТО;S;n - nom sg
42820;;да;ДА;PART;PART;;;во время линьки это да допустим да /;а;д;;;;;А;ДА;PART;PART
42821;;допустим;ДОПУСТИТЬ;PARENTH;-;;;линьки это да допустим да / потому что;м;и;т;с;у;п;Ь;ДОПУСТИТЬ;V;pf - pl imper - 1p
42822;;да;ДА;CONJ;CONJ;;;это да допустим да / потому что у;а;д;;;;;А;ДА;CONJ;CONJ
42823;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42824;;потому что;потому что;CONJ;CONJ;;;допустим да / потому что у него лезет;о;т;ч; ;у;м;о;потому что;CONJ;CONJ
42825;;у;У;PR;PR;;;да / потому что у него лезет она;у;;;;;;У;У;PR;PR
42826;;него;ОН;SPRO;sg 3p m gen;;;/ потому что у него лезет она везде;о;г;е;н;;;Н;ОН;SPRO;sg 3p m acc
42827;;лезет;ЛЕЗТЬ;V;ipf praes sg indic - 3p;;;потому что у него лезет она везде //;т;е;з;е;л;;Ь;ЛЕЗТЬ;V;ipf praes sg indic - 3p
42828;;она;ОНА;SPRO;sg 3p f nom;;;у него лезет она везде // это;а;н;о;;;;А;ОНА;SPRO;sg 3p f nom
42829;;везде;ВЕЗДЕ;ADV;-;;;него лезет она везде // это понятно;е;д;з;е;в;;Е;ВЕЗДЕ;ADV;-
42830;;//;//;PUNCT;_;;;лезет она везде // это понятно пэ...;/;/;;;;;/;//;PUNCT;_
42831;;это;ЭТО;SPRO;n - nom sg;;;она везде // это понятно пэ... но;о;т;э;;;;О;ЭТО;S;n - nom sg
42832;;понятно;ПОНЯТНЫЙ;A;- - sg brev n -;;;везде // это понятно пэ... но он;о;н;т;я;н;о;Й;ПОНЯТНЫЙ;A;- - sg brev n -
42833;;пэ;ПЭ;;;dictinct form;;// это понятно пэ... но он предлагает;.;.;.;э;п;;Э;ПЭ...;S;n inan nonflex nonflex
42834;;но;НО;CONJ;CONJ;;;это понятно пэ... но он предлагает потом;о;н;;;;;О;НО;CONJ;CONJ
42835;;он;ОН;SPRO;sg 3p m nom;;;понятно пэ... но он предлагает потом связать;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
42836;;предлагает;ПРЕДЛАГАТЬ;V;ipf praes sg indic - 3p;;;пэ... но он предлагает потом связать из;т;е;а;г;а;л;Ь;ПРЕДЛАГАТЬ;V;ipf praes sg indic - 3p
42837;;потом;ПОТОМ;ADVPRO;-;;;но он предлагает потом связать из этой;м;о;т;о;п;;М;ПОТОМ;ADV;-
42838;;связать;СВЯЗАТЬ;V;pf - - inf - -;;;он предлагает потом связать из этой шерсти;ь;т;а;з;я;в;Ь;СВЯЗАТЬ;V;pf - - inf - -
42839;;из;ИЗ;PR;PR;;;предлагает потом связать из этой шерсти шарфик;з;и;;;;;З;ИЗ;PR;PR
42840;;этой;ЭТОТ;A;- gen sg plen f -;;;потом связать из этой шерсти шарфик //;й;о;т;э;;;Т;ЭТОТ;A;- gen sg plen f -
42841;;шерсти;ШЕРСТЬ;S;f inan gen sg;;;связать из этой шерсти шарфик // ну;и;т;с;р;е;ш;Ь;ШЕРСТЬ;S;f inan gen sg
42842;;шарфик;ШАРФИК;S;m inan acc sg;;;из этой шерсти шарфик // ну такое;к;и;ф;р;а;ш;К;ШАРФИК;S;m inan nom sg
42843;;//;//;PUNCT;_;;;этой шерсти шарфик // ну такое ;/;/;;;;;/;//;PUNCT;_
42844;;ну;НУ;INTJ;INTJ;;;шерсти шарфик // ну такое  на;у;н;;;;;У;НУ;PART;PART
42845;;такое;ТАКОЙ;APRO;n - nom sg;;;шарфик // ну такое  на самом;е;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen n -
42846;"<distinct form=""насамделе"">";;;;- nom sg plen n -;;;;;;;;;;;;;
42847;;на;НА;PR;PR;;;ну такое  на самом деле ;а;н;;;;;А;НА;PR;PR
42848;;самом;САМЫЙ;A;- loc sg plen n -;;;такое  на самом деле  //;м;о;м;а;с;;Й;САМЫЙ;A;- loc sg plen n -
42849;;деле;ДЕЛО;S;n inan loc sg;;; на самом деле  // из;е;л;е;д;;;О;ДЕЛО;S;n inan loc sg
42850;</distinct>;;;;;;;;;;;;;;;;;
42851;;//;//;PUNCT;_;;;самом деле  // из шерсти кота;/;/;;;;;/;//;PUNCT;_
42852;;из;ИЗ;PR;PR;;;деле  // из шерсти кота ;з;и;;;;;З;ИЗ;PR;PR
42853;;шерсти;ШЕРСТЬ;S;f inan gen sg;;; // из шерсти кота  ;и;т;с;р;е;ш;Ь;ШЕРСТЬ;S;f inan gen sg
42854;;кота;КОТ;S;m anim gen sg;;;// из шерсти кота   так;а;т;о;к;;;Т;КОТ;S;m anim gen sg
42855;;;;;;;;;;;;;;;;;;
42856;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
42857;;так;ТАК;ADV;-;;;кота   так моя бабушка шутила;к;а;т;;;;К;ТАК;ADV;-
42858;;моя;МОЙ;APRO;f - nom sg;;;  так моя бабушка шутила ;я;о;м;;;;Й;МОЙ;A;- nom sg plen f -
42859;;бабушка;БАБУШКА;S;f anim nom sg;;; так моя бабушка шутила  ;а;к;ш;у;б;а;А;БАБУШКА;S;f anim nom sg
42860;;шутила;ШУТИТЬ;V;ipf praet sg indic f -;;;так моя бабушка шутила   эм;а;л;и;т;у;ш;Ь;ШУТИТЬ;V;ipf praet sg indic f -
42861;;;;;;;;;;;;;;;;;;
42862;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
42863;;эм;ЭМ;INTJ;INTJ;;;шутила   эм  когда ;м;э;;;;;М;ЭМ;S;n inan nonflex nonflex
42864;"<distinct form=""када"">";;;;;;;;;;;;;;;;;
42865;;когда;КОГДА;ADV;-;;; эм  когда  э /;а;д;г;о;к;;А;КОГДА;CONJ;CONJ
42866;</distinct>;;;;;;;;;;;;;;;;;
42867;;э;Э;INTJ;INTJ;;; когда  э / мой дедушка;э;;;;;;Э;Э;INTJ;INTJ
42868;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42869;;мой;МОЙ;APRO;m  - nom sg;;; э / мой дедушка так еще;й;о;м;;;;Й;МОЙ;A;- nom sg plen m -
42870;;дедушка;ДЕДУШКА;S;m anim nom sg;;;э / мой дедушка так еще шутил;а;к;ш;у;д;е;А;ДЕДУШКА;S;m anim nom sg
42871;;так;ТАК;ADV;-;;;/ мой дедушка так еще шутил и;к;а;т;;;;К;ТАК;ADV;-
42872;;еще;ЕЩЕ;ADV;-;;;мой дедушка так еще шутил и говорил;е;щ;е;;;;Е;ЕЩЕ;ADV;-
42873;;шутил;ШУТИТЬ;V;ipf praet sg indic m -;;;дедушка так еще шутил и говорил /;л;и;т;у;ш;;Ь;ШУТИТЬ;V;ipf praet sg indic m -
42874;;и;И;CONJ;CONJ;;;так еще шутил и говорил / что;и;;;;;;И;И;CONJ;CONJ
42875;;говорил;ГОВОРИТЬ;V;ipf praet sg indic m -;;;еще шутил и говорил / что это;л;и;р;о;в;о;Ь;ГОВОРИТЬ;V;ipf praet sg indic m -
42876;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42877;;что;ЧТО;CONJ;CONJ;;;и говорил / что это его бабушка;о;т;ч;;;;О;ЧТО;CONJ;CONJ
42878;;это;ЭТО;PART;PART;;;говорил / что это его бабушка шутила;о;т;э;;;;О;ЭТО;S;n - nom sg
42879;;его;ЕГО;APRO; - gen sg plen m -;;;/ что это его бабушка шутила /;о;г;е;;;;О;ЕГО;A;- nonflex nonflex plen - -
42880;;бабушка;БАБУШКА;S;f anim nom sg;;;что это его бабушка шутила / и;а;к;ш;у;б;а;А;БАБУШКА;S;f anim nom sg
42881;;шутила;ШУТИТЬ;V;ipf praet sg indic f -;;;это его бабушка шутила / и уже;а;л;и;т;у;ш;Ь;ШУТИТЬ;V;ipf praet sg indic f -
42882;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42883;;и;И;CONJ;CONJ;;;бабушка шутила / и уже  тогда;и;;;;;;И;И;CONJ;CONJ
42884;;уже;УЖЕ;ADV;-;;;шутила / и уже  тогда ;е;ж;у;;;;Е;УЖЕ;ADV;-
42885;"<distinct form=""тада"">";;;;;;;;;;;;;;;;;
42886;;тогда;ТОГДА;ADVPRO;-;;;и уже  тогда  это было;а;д;г;о;т;;А;ТОГДА;ADV;-
42887;</distinct>;;;;;;;;;;;;;;;;;
42888;;это;ЭТО;SPRO;n - nom sg;;; тогда  это было баяном //;о;т;э;;;;О;ЭТО;S;n - nom sg
42889;;было;БЫТЬ;V;ipf praet sg indic n -;;;тогда  это было баяном // Я;о;л;ы;б;;;Ь;БЫТЬ;V;ipf praet sg indic n -
42890;;баяном;БАЯН;S;m inan ins sg;;; это было баяном // Я ;м;о;н;я;а;б;Н;БАЯН;S;m inan ins sg
42891;"<class=""note"">вздыхает</span>";;;;;;;;;;;;;;;;;
42892;;//;//;PUNCT;;;;это было баяном // Я  просто;/;/;;;;;/;//;PUNCT;
42893;;Я;Я;SPRO;sg 1p - nom;;;было баяном // Я  просто ;Я;;;;;;Я;Я;S;- - nonflex nonflex
42894;"<distinct form=""пст"">";;;;;;;;;;;;;;;;;
42895;;просто;ПРОСТО;ADV;-;;;// Я  просто  не понимаю;о;т;с;о;р;п;О;ПРОСТО;ADV;-
42896;</distinct>;;;;;;;;;;;;;;;;;
42897;;не;НЕ;PART;PART;;; просто  не понимаю / что;е;н;;;;;Е;НЕ;PART;PART
42898;;понимаю;ПОНИМАТЬ;V;ipf praes sg indic - 1p;;;просто  не понимаю / что это;ю;а;м;и;н;о;Ь;ПОНИМАТЬ;V;ipf praes sg indic - 1p
42899;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42900;;что;ЧТО;CONJ;CONJ;;;не понимаю / что это // э;о;т;ч;;;;О;ЧТО;CONJ;CONJ
42901;;это;ЭТО;SPRO;n - nom sg;;;понимаю / что это // э у;о;т;э;;;;О;ЭТО;S;n - nom sg
42902;"<class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
42903;;//;//;PUNCT;;;;/ что это // э у этого;/;/;;;;;/;//;PUNCT;
42904;;э;Э;INTJ;INTJ;;;что это // э у этого ;э;;;;;;Э;Э;INTJ;INTJ
42905;"<distinct form=""эт"">";;;;;;;;;;;;;;;;;
42906;;у;У;PR;PR;;;это // э у этого  котика;у;;;;;;У;У;PR;
42907;;этого;ЭТО;APRO;n - gen sg;;;// э у этого  котика гаджеты;о;г;о;т;э;;О;ЭТО;S;n - gen sg
42908;</distinct>;;;;;;;;;;;;;;;;;
42909;;котика;КОТИК;S;m anim gen sg;;;у этого  котика гаджеты лучше /;а;к;и;т;о;к;К;КОТИК;S;m inan gen sg
42910;;гаджеты;ГАДЖЕТ;S;m inan acc pl;;;этого  котика гаджеты лучше / чем;ы;т;е;ж;д;а;Т;ГАДЖЕТ;S;m inan acc pl
42911;;лучше;ХОРОШО;ADV;comp;;; котика гаджеты лучше / чем у;е;ш;ч;у;л;;О;ХОРОШО;ADV;comp
42912;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42913;;чем;ЧЕМ;CONJ;CONJ;;;гаджеты лучше / чем у меня //;м;е;ч;;;;М;ЧЕМ;CONJ;CONJ
42914;;у;У;PR;PR;;;лучше / чем у меня // У;у;;;;;;У;У;PR;PR
42915;;меня;Я;SPRO;sg 1p - gen;;;/ чем у меня // У него;я;н;е;м;;;Я;Я;SPRO;sg 1p - acc
42916;;//;//;PUNCT;_;;;чем у меня // У него тут;/;/;;;;;/;//;PUNCT;_
42917;;У;У;PR;PR;;;у меня // У него тут чесалка;У;;;;;;У;У;PR;PR
42918;;него;ОН;SPRO;sg 3p m gen;;;меня // У него тут чесалка есть;о;г;е;н;;;Н;ОН;SPRO;sg 3p m acc
42919;;тут;ТУТ;ADVPRO;-;;;// У него тут чесалка есть /;т;у;т;;;;Т;ТУТ;ADV;-
42920;;чесалка;ЧЕСАЛКА;S;f inan nom sg;;;У него тут чесалка есть / специальная;а;к;л;а;с;е;А;ЧЕСАЛКА;S;f inan nom sg
42921;;есть;БЫТЬ;V;ipf praes sg indic - 3p;;;него тут чесалка есть / специальная /;ь;т;с;е;;;Ь;БЫТЬ;V;ipf praes sg indic - 3p
42922;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42923;;специальная;СПЕЦИАЛЬНЫЙ;A;- nom sg plen f -;;;чесалка есть / специальная / чтобы ему;я;а;н;ь;л;а;Й;СПЕЦИАЛЬНЫЙ;A;- nom sg plen f -
42924;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42925;;чтобы;ЧТОБЫ;CONJ;CONJ;;;/ специальная / чтобы ему / брюхо;ы;б;о;т;ч;;Ы;ЧТОБЫ;CONJ;CONJ
42926;;ему;ОН;SPRO;sg 3p m dat;;;специальная / чтобы ему / брюхо себе;у;м;е;;;;Н;ОН;SPRO;sg 3p m dat
42927;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42928;;брюхо;БРЮХО;S;n inan acc sg;;;чтобы ему / брюхо себе чесал ;о;х;ю;р;б;;О;БРЮХО;S;n inan acc sg
42929;;себе;СЕБЯ;SPRO; - - dat;;;ему / брюхо себе чесал  когда;е;б;е;с;;;Я;СЕБЯ;SPRO;- - - loc
42930;;чесал;ЧЕСАТЬ;V;ipf praet sg indic m -;;;/ брюхо себе чесал  когда ;л;а;с;е;ч;;Ь;ЧЕСАТЬ;V;ipf praet sg indic m -
42931;"<distinct form=""када"">";;;;;;;;;;;;;;;;;
42932;;когда;КОГДА;ADVPRO;-;;;себе чесал  когда  он хочет;а;д;г;о;к;;А;КОГДА;ADV;-
42933;</distinct>;;;;;;;;;;;;;;;;;
42934;;он;ОН;SPRO;sg 3p m nom;;; когда  он хочет // другую;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
42935;;хочет;ХОТЕТЬ;V;ipf praes sg indic - 3p;;;когда  он хочет // другую кошечку;т;е;ч;о;х;;Ь;ХОТЕТЬ;V;ipf praes sg indic - 3p
42936;;//;//;PUNCT;_;;; он хочет // другую кошечку //;/;/;;;;;/;//;PUNCT;_
42937;;другую;ДРУГОЙ;A;- acc sg plen f -;;;он хочет // другую кошечку // ;ю;у;г;у;р;д;Й;ДРУГОЙ;A;- acc sg plen f -
42938;;кошечку;КОШЕЧКА;S;f anim acc sg;;;хочет // другую кошечку //  ;у;к;ч;е;ш;о;А;КОШЕЧКА;S;f anim acc sg
42939;"<class=""note"">вздыхает</span>";;;;;;;;;;;;;;;;;
42940;;//;//;PUNCT;;;;// другую кошечку //   ;/;/;;;;;/;//;PUNCT;
42941;"<span <class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
42942;;;;;;;;;;;;;;;;;;
42943;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
42944;;какой;КАКОЙ;APRO;m - nom sg;;;   какой клевый кот //;й;о;к;а;к;;Й;КАКОЙ;A;- nom sg plen m -
42945;;клевый;КЛЕВЫЙ;A;- nom sg plen m -;;;  какой клевый кот // да;й;ы;в;е;л;к;Й;КЛЕВЫЙ;A;- nom sg plen m -
42946;;кот;КОТ;S;m anim nom sg;;; какой клевый кот // да почему;т;о;к;;;;Т;КОТ;S;m anim nom sg
42947;;//;//;PUNCT;;;;какой клевый кот // да почему этому;/;/;;;;;/;//;PUNCT;
42948;;;;;;;;;;;;;;;;;;
42949;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
42950;;да;ДА;CONJ;CONJ;;;клевый кот // да почему этому коту;а;д;;;;;А;ДА;CONJ;CONJ
42951;;почему;ПОЧЕМУ;ADVPRO;-;;;кот // да почему этому коту так;у;м;е;ч;о;п;У;ПОЧЕМУ;ADV;-
42952;;этому;ЭТОТ;APRO;m - dat sg ;;;// да почему этому коту так везет;у;м;о;т;э;;Т;ЭТОТ;A;- dat sg plen m -
42953;;коту;КОТ;S;m anim dat sg;;;да почему этому коту так везет ?;у;т;о;к;;;Т;КОТ;S;m anim dat sg
42954;;так;ТАК;ADV;-;;;почему этому коту так везет ? ;к;а;т;;;;К;ТАК;ADV;-
42955;;везет;ВЕЗТИ;V;ipf praes sg indic - 3p;;;этому коту так везет ?  //;т;е;з;е;в;;И;ВЕЗТИ;V;ipf praes sg indic - 3p
42956;;?;?;PUNCT;SENT;;;коту так везет ?  // у;?;;;;;;?;?;SENT;SENT
42957;;;;;;;;;;;;;;;;;;
42958;;//;//;PUNCT;_;;;везет ?  // у него еще;/;/;;;;;/;//;PUNCT;_
42959;;у;У;PR;PR;;;?  // у него еще игрушки;у;;;;;;У;У;PR;PR
